quarter_second,FHR,UC,second,minute
0,144.75,47.0,0,0
1,145.0,43.5,0,0
2,144.25,47.0,0,0
3,144.25,53.5,0,0
4,144.75,56.0,1,0
5,144.75,49.0,1,0
6,145.0,49.0,1,0
7,146.0,49.0,1,0
8,146.0,50.5,2,0
9,147.0,53.0,2,0
10,146.25,58.0,2,0
11,146.25,57.5,2,0
12,146.25,54.5,3,0
13,145.0,51.5,3,0
14,145.0,51.0,3,0
15,145.0,50.0,3,0
16,145.75,53.5,4,0
17,145.75,57.5,4,0
18,146.75,62.0,4,0
19,146.75,65.5,4,0
20,144.5,61.5,5,0
21,144.25,54.0,5,0
22,144.25,56.0,5,0
23,145.0,55.0,5,0
24,145.5,57.5,6,0
25,145.5,57.5,6,0
26,144.75,57.5,6,0
27,144.75,56.5,6,0
28,142.5,56.0,7,0
29,142.5,54.0,7,0
30,143.25,54.0,7,0
31,143.5,53.5,7,0
32,143.5,52.5,8,0
33,142.25,53.5,8,0
34,142.25,53.5,8,0
35,141.5,53.0,8,0
36,140.75,53.0,9,0
37,140.75,55.0,9,0
38,142.0,57.5,9,0
39,142.0,59.0,9,0
40,140.75,59.5,10,0
41,140.75,57.5,10,0
42,138.5,56.5,10,0
43,137.5,56.0,10,0
44,137.5,56.0,11,0
45,136.75,56.0,11,0
46,136.75,58.5,11,0
47,136.0,60.5,11,0
48,136.0,62.0,12,0
49,136.0,63.0,12,0
50,135.75,61.5,12,0
51,135.75,60.5,12,0
52,135.0,60.5,13,0
53,135.0,60.5,13,0
54,135.75,60.5,13,0
55,135.75,61.0,13,0
56,135.25,61.0,14,0
57,135.25,60.5,14,0
58,132.0,60.5,14,0
59,132.0,59.5,14,0
60,129.5,60.0,15,0
61,129.5,58.5,15,0
62,129.5,57.0,15,0
63,130.5,56.5,15,0
64,130.5,56.5,16,0
65,130.0,56.0,16,0
66,130.0,55.5,16,0
67,129.75,55.5,16,0
68,129.75,55.0,17,0
69,131.25,55.0,17,0
70,130.25,55.0,17,0
71,130.25,54.5,17,0
72,129.5,55.0,18,0
73,129.5,56.0,18,0
74,127.25,57.0,18,0
75,127.25,58.5,18,0
76,128.5,59.0,19,0
77,128.5,58.0,19,0
78,128.5,57.0,19,0
79,128.5,57.0,19,0
80,129.75,57.0,20,0
81,129.75,57.5,20,0
82,132.5,57.5,20,0
83,132.5,60.0,20,0
84,132.25,61.5,21,0
85,131.5,62.5,21,0
86,131.5,62.5,21,0
87,130.25,61.5,21,0
88,130.25,61.5,22,0
89,131.5,62.0,22,0
90,131.5,62.0,22,0
91,132.75,63.0,22,0
92,132.25,65.5,23,0
93,132.25,65.5,23,0
94,132.25,64.5,23,0
95,132.25,63.5,23,0
96,128.25,64.5,24,0
97,128.25,66.0,24,0
98,127.25,67.5,24,0
99,127.25,68.0,24,0
100,124.0,66.5,25,0
101,124.0,66.0,25,0
102,124.0,65.0,25,0
103,122.0,64.0,25,0
104,119.5,63.5,26,0
105,119.5,63.5,26,0
106,117.75,64.5,26,0
107,117.75,66.5,26,0
108,117.5,68.0,27,0
109,117.5,69.0,27,0
110,124.75,69.0,27,0
111,124.75,69.0,27,0
112,127.5,69.5,28,0
113,127.5,70.5,28,0
114,129.25,71.0,28,0
115,129.25,71.5,28,0
116,129.5,72.5,29,0
117,130.25,73.5,29,0
118,130.25,73.5,29,0
119,131.5,74.5,29,0
120,131.5,75.5,30,0
121,130.75,74.5,30,0
122,130.75,74.5,30,0
123,131.0,77.0,30,0
124,131.0,78.5,31,0
125,130.25,78.0,31,0
126,130.25,76.0,31,0
127,128.5,76.5,31,0
128,126.0,76.0,32,0
129,126.0,76.5,32,0
130,126.25,78.5,32,0
131,126.25,78.5,32,0
132,128.5,79.0,33,0
133,128.5,79.5,33,0
134,128.0,79.0,33,0
135,128.0,79.0,33,0
136,128.5,79.5,34,0
137,128.5,80.5,34,0
138,127.75,81.5,34,0
139,127.75,82.0,34,0
140,126.25,81.5,35,0
141,126.25,82.0,35,0
142,126.5,81.5,35,0
143,126.5,81.5,35,0
144,121.75,82.0,36,0
145,121.75,82.0,36,0
146,120.25,83.0,36,0
147,120.25,83.5,36,0
148,118.0,83.0,37,0
149,118.0,82.5,37,0
150,118.75,82.0,37,0
151,118.75,81.5,37,0
152,117.75,80.5,38,0
153,117.75,79.5,38,0
154,118.0,78.0,38,0
155,118.0,77.0,38,0
156,116.25,76.5,39,0
157,116.25,76.0,39,0
158,116.5,78.0,39,0
159,116.5,79.5,39,0
160,118.5,81.5,40,0
161,118.5,83.5,40,0
162,120.25,83.0,40,0
163,120.25,83.5,40,0
164,120.25,83.0,41,0
165,120.25,83.5,41,0
166,121.5,84.0,41,0
167,121.5,83.0,41,0
168,121.0,84.0,42,0
169,121.0,86.5,42,0
170,121.75,88.0,42,0
171,121.75,85.5,42,0
172,121.75,84.0,43,0
173,121.75,82.5,43,0
174,121.75,81.0,43,0
175,121.75,81.0,43,0
176,121.0,80.0,44,0
177,121.0,81.0,44,0
178,119.75,81.0,44,0
179,119.75,81.0,44,0
180,120.25,82.0,45,0
181,120.25,82.0,45,0
182,119.5,79.0,45,0
183,119.5,78.5,45,0
184,120.0,78.0,46,0
185,120.0,77.5,46,0
186,122.75,77.0,46,0
187,122.75,77.0,46,0
188,123.5,77.0,47,0
189,123.5,75.5,47,0
190,124.5,75.0,47,0
191,124.5,74.5,47,0
192,123.0,76.5,48,0
193,123.0,79.0,48,0
194,122.25,78.0,48,0
195,123.0,77.0,48,0
196,123.0,76.5,49,0
197,122.75,76.0,49,0
198,122.75,76.5,49,0
199,122.25,77.5,49,0
200,122.25,77.0,50,0
201,124.0,76.5,50,0
202,124.0,74.0,50,0
203,123.75,74.0,50,0
204,123.75,74.5,51,0
205,123.75,75.5,51,0
206,123.75,76.0,51,0
207,122.5,74.0,51,0
208,122.5,72.0,52,0
209,121.25,70.0,52,0
210,121.25,69.0,52,0
211,121.0,68.5,52,0
212,121.0,67.5,53,0
213,119.5,67.5,53,0
214,119.5,68.5,53,0
215,121.25,69.5,53,0
216,121.25,69.5,54,0
217,122.25,69.5,54,0
218,122.25,68.5,54,0
219,124.0,68.0,54,0
220,124.0,67.5,55,0
221,124.0,66.5,55,0
222,124.0,67.0,55,0
223,125.0,68.5,55,0
224,125.0,69.5,56,0
225,125.75,70.5,56,0
226,125.75,70.0,56,0
227,125.75,68.5,56,0
228,125.75,68.0,57,0
229,126.25,68.5,57,0
230,126.25,63.0,57,0
231,126.25,63.0,57,0
232,126.5,62.5,58,0
233,126.5,62.0,58,0
234,126.5,62.5,58,0
235,126.5,65.0,58,0
236,126.25,63.0,59,0
237,126.25,60.0,59,0
238,126.25,60.0,59,0
239,126.25,59.5,59,0
240,126.25,59.0,60,1
241,0.0,58.5,60,1
242,0.0,59.0,60,1
243,0.0,61.0,60,1
244,0.0,61.5,61,1
245,0.0,59.5,61,1
246,157.0,58.5,61,1
247,155.25,58.0,61,1
248,155.25,58.0,62,1
249,155.5,58.5,62,1
250,155.5,57.5,62,1
251,155.25,57.5,62,1
252,155.25,57.5,63,1
253,155.25,59.5,63,1
254,155.25,58.0,63,1
255,155.25,57.0,63,1
256,155.5,56.5,64,1
257,155.5,56.0,64,1
258,155.5,56.5,64,1
259,155.5,56.0,64,1
260,0.0,56.5,65,1
261,0.0,57.0,65,1
262,0.0,57.0,65,1
263,0.0,57.0,65,1
264,0.0,57.5,66,1
265,136.75,58.0,66,1
266,136.75,58.0,66,1
267,133.5,58.5,66,1
268,133.5,58.5,67,1
269,135.25,58.5,67,1
270,135.25,60.0,67,1
271,134.75,61.0,67,1
272,134.75,61.5,68,1
273,134.5,59.5,68,1
274,133.0,58.0,68,1
275,133.0,56.5,68,1
276,132.75,55.0,69,1
277,132.75,54.5,69,1
278,131.0,54.0,69,1
279,131.0,54.5,69,1
280,127.75,53.5,70,1
281,127.75,54.0,70,1
282,119.75,56.0,70,1
283,119.75,57.5,70,1
284,120.25,56.5,71,1
285,120.25,53.5,71,1
286,121.5,52.5,71,1
287,121.5,52.5,71,1
288,121.0,52.5,72,1
289,121.0,53.0,72,1
290,121.75,53.0,72,1
291,121.75,52.0,72,1
292,124.75,52.0,73,1
293,124.75,51.0,73,1
294,129.0,50.0,73,1
295,131.25,49.5,73,1
296,131.25,49.0,74,1
297,132.25,48.5,74,1
298,132.25,48.5,74,1
299,133.0,48.5,74,1
300,133.0,50.0,75,1
301,133.75,51.0,75,1
302,133.75,52.5,75,1
303,133.25,52.5,75,1
304,134.25,51.5,76,1
305,134.25,50.5,76,1
306,134.25,50.0,76,1
307,134.25,50.5,76,1
308,135.0,50.5,77,1
309,135.0,50.0,77,1
310,135.75,50.0,77,1
311,137.25,50.0,77,1
312,137.25,49.0,78,1
313,137.5,49.0,78,1
314,137.5,48.5,78,1
315,137.5,48.5,78,1
316,137.75,48.0,79,1
317,137.75,48.0,79,1
318,136.5,48.0,79,1
319,136.5,48.0,79,1
320,137.75,48.0,80,1
321,137.75,48.0,80,1
322,139.25,48.0,80,1
323,138.75,47.5,80,1
324,138.75,48.0,81,1
325,138.5,49.5,81,1
326,138.5,50.5,81,1
327,139.0,50.5,81,1
328,139.0,53.0,82,1
329,139.0,54.0,82,1
330,138.75,55.0,82,1
331,138.75,55.5,82,1
332,139.5,20.0,83,1
333,139.5,19.5,83,1
334,138.5,18.0,83,1
335,138.75,16.5,83,1
336,138.75,15.5,84,1
337,137.75,15.0,84,1
338,137.75,15.0,84,1
339,137.5,14.5,84,1
340,137.5,15.0,85,1
341,137.5,16.0,85,1
342,137.5,15.5,85,1
343,137.25,14.0,85,1
344,137.25,13.5,86,1
345,137.25,13.0,86,1
346,137.5,12.5,86,1
347,137.5,12.5,86,1
348,136.75,12.5,87,1
349,136.75,12.0,87,1
350,136.75,12.0,87,1
351,136.25,12.5,87,1
352,136.25,13.0,88,1
353,136.5,13.5,88,1
354,136.5,14.0,88,1
355,136.75,14.5,88,1
356,136.75,14.5,89,1
357,137.25,14.5,89,1
358,137.25,14.0,89,1
359,137.25,13.5,89,1
360,137.0,13.5,90,1
361,137.0,13.0,90,1
362,137.5,12.5,90,1
363,137.0,12.5,90,1
364,137.0,12.0,91,1
365,137.5,11.5,91,1
366,137.5,12.0,91,1
367,138.0,12.0,91,1
368,138.0,12.5,92,1
369,138.5,12.5,92,1
370,138.5,13.0,92,1
371,138.0,12.0,92,1
372,137.5,11.5,93,1
373,137.5,11.0,93,1
374,138.25,11.0,93,1
375,138.25,11.0,93,1
376,138.5,10.5,94,1
377,138.5,10.5,94,1
378,137.75,11.5,94,1
379,137.5,12.5,94,1
380,137.5,13.0,95,1
381,137.25,13.0,95,1
382,137.25,12.5,95,1
383,136.75,12.0,95,1
384,136.75,11.0,96,1
385,136.25,11.0,96,1
386,136.75,11.0,96,1
387,136.75,11.0,96,1
388,135.25,10.5,97,1
389,135.25,11.0,97,1
390,135.75,12.0,97,1
391,135.75,12.5,97,1
392,135.75,13.0,98,1
393,136.25,12.5,98,1
